Date, Close/Last, Volume, Open, High, Low
02/28/2020, $273.36,106721200, $257.26, $278.41, $256.37
02/27/2020, $273.52,80151380, $281.1, $286, $272.96
02/26/2020, $292.65,49678430, $286.53, $297.88, $286.5
02/25/2020, $288.08,57668360, $300.95, $302.53, $286.13
02/24/2020, $298.18,55548830, $297.26, $304.18, $289.23
02/21/2020, $313.05,32426420, $318.62, $320.45, $310.5
02/20/2020, $320.3,25141490, $322.63, $324.65, $318.21
02/19/2020, $323.62,23495990, $320, $324.57, $320
02/18/2020, $319,38190550, $315.36, $319.75, $314.61
02/14/2020, $324.95,20028450, $324.74, $325.98, $322.85
02/13/2020, $324.87,23686890, $324.19, $326.22, $323.35
01/31/2020, $309.51,49897100, $320.93, $322.68, $308.29
01/30/2020, $323.87,31685810, $320.544, $324.09, $318.75
01/29/2020, $324.34,54149930, $324.45, $327.85, $321.38
01/28/2020, $317.69,40558490, $312.6, $318.4, $312.19
01/27/2020, $308.95,40485010, $310.06, $311.77, $304.88
01/24/2020, $318.31,36634380, $320.25, $323.33, $317.5188
01/23/2020, $319.23,26117990, $317.92, $319.56, $315.65
01/22/2020, $317.7,25458120, $318.58, $319.99, $317.31
01/21/2020, $316.57,27710810, $317.19, $319.02, $316
01/17/2020, $318.73,34454120, $316.27, $318.74, $315
01/16/2020, $315.24,27207250, $313.59, $315.7, $312.09
01/15/2020, $311.34,30480880, $311.85, $315.5, $309.55
01/14/2020, $312.68,40653460, $316.7, $317.57, $312.17
01/13/2020, $316.96,30521720, $311.64, $317.07, $311.15
12/31/2019, $293.65,25247630, $289.93, $293.68, $289.52
12/30/2019, $291.52,36059610, $289.46, $292.69, $285.22
12/27/2019, $289.8,36592940, $291.12, $293.97, $288.12
12/26/2019, $289.91,23334000, $284.82, $289.98, $284.7
12/24/2019, $284.27,12119710, $284.69, $284.89, $282.9197
12/23/2019, $284,24677880, $280.53, $284.25, $280.3735
12/20/2019, $279.44,69032740, $282.23, $282.65, $278.56
12/19/2019, $280.02,24626950, $279.5, $281.18, $278.95
12/18/2019, $279.74,29024690, $279.8, $281.9, $279.12
12/17/2019, $280.41,28575800, $279.57, $281.77, $278.8
12/16/2019, $279.86,32081110, $277, $280.79, $276.98
12/13/2019, $275.15,33432810, $271.46, $275.3, $270.93
11/29/2019, $267.25,11654360, $266.6, $268, $265.9
11/27/2019, $267.84,16386120, $265.58, $267.98, $265.31
11/26/2019, $264.29,26334880, $266.94, $267.16, $262.5
11/25/2019, $266.37,21029520, $262.71, $266.44, $262.52
11/22/2019, $261.78,16331260, $262.59, $263.18, $260.84
11/21/2019, $262.01,30348780, $263.69, $264.005, $261.18
11/20/2019, $263.19,26609920, $265.54, $266.083, $260.4
11/19/2019, $266.29,19069600, $267.9, $268, $265.3926
11/18/2019, $267.1,21700900, $265.8, $267.43, $264.23
11/15/2019, $265.76,25093670, $263.68, $265.78, $263.01
11/14/2019, $262.64,22395560, $263.75, $264.88, $262.1
11/13/2019, $264.47,25817590, $261.13, $264.78, $261.07
10/31/2019, $248.76,34790520, $247.24, $249.17, $237.26
10/30/2019, $243.26,31130520, $244.76, $245.3, $241.21
10/29/2019, $243.29,35709870, $248.97, $249.75, $242.57
10/28/2019, $249.05,24143240, $247.42, $249.25, $246.72
10/25/2019, $246.58,18369300, $243.16, $246.73, $242.88
10/24/2019, $243.58,17916260, $244.51, $244.8, $241.805
10/23/2019, $243.18,19932550, $242.1, $243.24, $241.22
10/22/2019, $239.96,22684000, $241.16, $242.2, $239.6218
10/21/2019, $240.51,22367480, $237.52, $240.99, $237.32
